Code;Bahnhof_Haltestelle;Bezugsjahr;DTV;DMW;Eigner;Bemerkung;geopos;lod
BG;Brugg AG;2016-01-01;20200;24000.0;SBB;;47.4808528316, 8.20882744791;http://lod.opentransportdata.swiss/didok/8500309
BWL;Birrwil;2016-01-01;190;210.0;SBB;;47.2878476573, 8.19899810707;http://lod.opentransportdata.swiss/didok/8502033
BR;Brig;2016-01-01;17000;17400.0;SBB;;46.3194210071, 7.98809158467;http://lod.opentransportdata.swiss/didok/8501609
EMB;Embrach-Rorbas;2016-01-01;;;SBB;Aus erhebungstechnischen Gründen steht die Angabe 2016 nicht zur Verfügung.;47.5205878296, 8.5870549795;http://lod.opentransportdata.swiss/didok/8506041
DT;Dietikon;2016-01-01;19900;23300.0;SBB;Ohne BDWM.;47.405777802, 8.40496908474;http://lod.opentransportdata.swiss/didok/8503508
DOE;Döttingen;2016-01-01;2300;2700.0;SBB;;47.5752638935, 8.25634387912;http://lod.opentransportdata.swiss/didok/8503501
DK;Däniken;2016-01-01;770;980.0;SBB;;47.356386391, 7.97875336334;http://lod.opentransportdata.swiss/didok/8502111
EI;Eiken;2016-01-01;330;380.0;SBB;;47.5330359504, 7.98977700634;http://lod.opentransportdata.swiss/didok/8500304
GUN;Guntershausen;2016-01-01;370;430.0;SBB;;47.4741351028, 8.91701626605;http://lod.opentransportdata.swiss/didok/8506012
HERL;Herrliberg-Feldmeilen;2016-01-01;3900;4700.0;SBB;;47.2818232851, 8.61271954112;http://lod.opentransportdata.swiss/didok/8503103
HOSA;Hochdorf Schönau;2016-01-01;610;680.0;SBB;;47.1646547839, 8.29821242385;http://lod.opentransportdata.swiss/didok/8502042
HU;Hunzenschwil;2016-01-01;520;620.0;SBB;;47.3882836417, 8.12567843923;http://lod.opentransportdata.swiss/didok/8502104
KAU;Kaiseraugst;2016-01-01;2600;3100.0;SBB;;47.5384906334, 7.72412101576;http://lod.opentransportdata.swiss/didok/8500300
HEBG;Heerbrugg;2016-01-01;3700;4400.0;SBB;;47.4103853071, 9.62724352946;http://lod.opentransportdata.swiss/didok/8506317
HED;Hedingen;2016-01-01;2200;2600.0;SBB;;47.2987825148, 8.44595351443;http://lod.opentransportdata.swiss/didok/8502223
JE;Jestetten;2016-01-01;1100;1200.0;SBB;;47.6544006039, 8.57327389271;http://lod.opentransportdata.swiss/didok/8503421
HO;Hochdorf;2016-01-01;1800;2200.0;SBB;;47.1669743615, 8.28868696709;http://lod.opentransportdata.swiss/didok/8502024
